# N_blocks dG1_mean dG1_std dG2_mean dG2_std
3.000000000000000000e+00 -3.285146215820854199e+00 8.796999951366704096e-01 -3.523725209639567257e+00 8.199734452839881893e-01
4.000000000000000000e+00 -3.478301215137008739e+00 4.667066794805555530e-01 -3.706266121318235740e+00 4.741002393547379956e-01
5.000000000000000000e+00 -3.288313268892951502e+00 5.881885884609110438e-01 -3.522869869292951428e+00 5.545900146553915944e-01
6.000000000000000000e+00 -2.234125981615090240e+00 1.491705955858761756e+00 -2.606340553908407021e+00 1.344956099443071595e+00
7.000000000000000000e+00 -3.143272302443974375e+00 6.201601014474945606e-01 -3.392902690324100412e+00 6.088461523836649070e-01
8.000000000000000000e+00 -2.715450471844290892e+00 1.097673957654394572e+00 -3.050349331817330700e+00 1.005351650015457787e+00
9.000000000000000000e+00 -1.032687458071752440e+00 2.470017837648456283e+00 -2.529485333628726629e+00 1.306178887372106745e+00
1.000000000000000000e+01 -2.231415499639426425e+00 1.082540835966244952e+00 -2.537827427092257615e+00 1.050778199797070656e+00
1.100000000000000000e+01 2.299176032096677424e+00 2.920481041349450635e+00 -1.509370950293962010e-01 1.925488788672705454e+00
1.200000000000000000e+01 7.077885548023391538e-01 2.481086757609042071e+00 -1.284638643559397275e+00 1.487440148533657025e+00
1.300000000000000000e+01 -1.567259041274944975e+00 1.876482884052050437e+00 -1.867065025967200143e+00 1.313833576371184808e+00
1.400000000000000000e+01 9.046326514958751286e-01 2.303942373484737072e+00 -1.095277787409572268e+00 1.451565846499907053e+00
1.500000000000000000e+01 2.097256558713846142e-01 2.202136990672204142e+00 -8.010841565067752246e-01 1.476927399060861790e+00
1.600000000000000000e+01 -1.506067794480971722e+00 1.801097822631033907e+00 -3.426213068762525848e-01 1.516345980017556716e+00
1.700000000000000000e+01 4.339095395490416784e+00 3.049737926615969208e+00 4.098072046572262539e-01 1.580639287742748200e+00
1.800000000000000000e+01 -1.286520941311228849e-01 1.807535587096364749e+00 -9.137261181952962552e-01 1.281551360706070675e+00
1.900000000000000000e+01 -2.697100919877303826e-01 1.818870001975723349e+00 -4.909204645784188692e-01 1.321655783121701511e+00
2.000000000000000000e+01 -2.156588688394557862e-01 1.899116982027695633e+00 6.442289123338860168e-01 1.800287540199217551e+00
2.100000000000000000e+01 -3.301471907351959112e-02 1.803301645680623677e+00 2.962975147326489620e-03 1.357542296440586327e+00
2.200000000000000000e+01 1.968034123671952740e+00 2.176591028129752026e+00 4.602324232974431273e-01 1.427541787850424404e+00
2.300000000000000000e+01 1.471199394821173234e+00 2.372657199996741628e+00 1.150172627121574642e+00 1.849692380314175821e+00
2.400000000000000000e+01 -1.130094219503064101e+00 1.760880733407097720e+00 8.816383585085806329e-01 1.624958924653566728e+00
