# N_blocks dG1_mean dG1_std dG2_mean dG2_std
3.000000000000000000e+00 -1.488290138451508504e+01 1.973508885658944167e-01 -1.490296943584985456e+01 1.947057163228608223e-01
4.000000000000000000e+00 -1.485780646080398881e+01 2.967713049591830798e-01 -1.487828446595068321e+01 3.058400303448392532e-01
5.000000000000000000e+00 -1.476247074543611504e+01 4.295048838178349149e-01 -1.478416806659575933e+01 4.435201238379240518e-01
6.000000000000000000e+00 -1.467262390621718282e+01 4.982256001271099799e-01 -1.469364460267581052e+01 4.978278951037425903e-01
7.000000000000000000e+00 -1.430881230236875901e+01 7.612997933491087998e-01 -1.433179471638675828e+01 7.563136560694811994e-01
8.000000000000000000e+00 -1.456020584992068123e+01 5.154139671851051263e-01 -1.458183594588762766e+01 5.097298679578320391e-01
9.000000000000000000e+00 -1.460750540879633697e+01 4.249926709006683345e-01 -1.462813594862559086e+01 4.250739358366135145e-01
1.000000000000000000e+01 -1.440804296620223468e+01 5.761975435074927487e-01 -1.443075147540275793e+01 5.797313721003534148e-01
1.100000000000000000e+01 -1.442804972784893103e+01 4.963241899107207478e-01 -1.444959755385719369e+01 4.927397307425806505e-01
1.200000000000000000e+01 -1.437201435659228288e+01 5.205414984899325859e-01 -1.439309722972431871e+01 5.164069294990963899e-01
1.300000000000000000e+01 -1.408454491337084136e+01 6.055568078924905562e-01 -1.410782625409552438e+01 6.066630010969215059e-01
1.400000000000000000e+01 -1.315330227856587442e+01 1.229991539749588636e+00 -1.315898017723334057e+01 1.234068915745500039e+00
1.500000000000000000e+01 -1.339216723274894250e+01 1.102618600314686281e+00 -1.339942347629571628e+01 1.111950509582653623e+00
1.600000000000000000e+01 -1.415230302810290652e+01 5.242536708757653541e-01 -1.417503360229965281e+01 5.229333939971612111e-01
1.700000000000000000e+01 -1.362784042350265601e+01 8.890350894369271062e-01 -1.365770249099955791e+01 8.868267565488066051e-01
1.800000000000000000e+01 -1.438933728800920875e+01 4.288563740085110099e-01 -1.440730696936332045e+01 4.261853495665001712e-01
1.900000000000000000e+01 -1.325447646167459936e+01 9.390759709379501441e-01 -1.326708124270993494e+01 9.452617521590513938e-01
2.000000000000000000e+01 -1.295643741722367892e+01 1.041185229236180954e+00 -1.297007118296977879e+01 1.047498057320483733e+00
2.100000000000000000e+01 -1.325526505766384311e+01 8.658701093781218106e-01 -1.326620688487599331e+01 8.694953034375296763e-01
2.200000000000000000e+01 -1.196225919064369769e+01 1.331399716958446167e+00 -1.145690825261425161e+01 1.746926370500728520e+00
2.300000000000000000e+01 -1.016375377241393885e+01 2.305861551999352610e+00 -1.073406497424359429e+01 1.871648375423950128e+00
2.400000000000000000e+01 -1.095067213377648052e+01 2.087426672450784615e+00 -1.155654769820259808e+01 1.599658273997155655e+00
